[8.571] フﾄ: umetya-nn!
[1550.167] CashiusClay604: WOW
[1551.876] (S)157655: 全部お仕置きしま
[1564.904] CashiusClay604: umeGrin
[1566.285] mohumonn120: カラスの声なんかワロタ
[1567.035] mrhams1: Come on 😈
[1567.473] (S)kwsk3: カラスあぶねぇだろ…
[1568.610] (S)lunasolnars: カタン楽しみにしてます
[1570.115] jouzeroff: 67 wins?
[1571.779] しゅだ: pc版切ってる猛者も多いしなあ
[1574.065] hajime2525: 名にこのケン、シルバーみたいな立ち回り
[1577.149] chaperone6: ハイテンションカラスニキだいすき
[1577.315] 野比助: 昨日の配信見た人 こくとKSKわだかまりなくなったの？
[1578.710] muji_na: このマップスト２たあぼでめっちゃあたった
[1589.271] balthazar000: しこりは消えたよ
[1591.563] isanabechop: 内側エディションって弾抜けCAのあと裏拳いきづらくなったの？
[1597.245] (S)tar2800: なくなったあと三人でAPEXやってたみたい
[1599.596] TheeCorrupt: moment of truth +
[1600.791] (S)kwsk3: 手応えある人ばかりやねー
[1602.991] 野比助: そうなんだ よかった
[1604.461] mohumonn120: やーる
[1611.502] 将門ゴルゴロ: 仲直りの〇ックスもした
[1613.399] DATBOYBEEZY: bye bye win streak.
[1622.307] (S)lunasolnars: こくとkskのAPEXは少し感動した
[1624.184] bomberten: going for 100 streak guile then 100 kage!!!
[1625.383] muji_na: あのあと一緒にゲームして遊んでたよ
[1634.395] eremin_39: Dこくは許されなかったぞ
[1634.734] jouzeroff: whatyasaid?
[1635.872] 不渡哲也: 今日は一緒にカタンやるよ
[1638.518] une3333: あらら
[1640.296] balthazar000: 優勝してたよね
[1642.608] (S)hayama01: こんにちは 
[1645.156] mrhams1: ryu and guille 30 year👏😂
[1645.177] muji_na: あららららら
[1645.420] oioiAoixxx: こんにちはー！昨日のカタン面白かったよー！
[1653.779] TheeCorrupt: streak is still alive boys
[1655.015] CuttyMonsta: party party party 
[1655.478] ghostofnavigators: so random! the ke
[1657.101] ghostofnavigators: ken
[1657.643] mohumonn120: 中段って持続じゃないとコンボいけない？
[1660.938] (S)kwsk3: よしよしよし流れきてる
[1662.899] (S)hahoniko_: カラスうっさw
[1663.117] jinxg0d: sike
[1664.684] MadEggMania: あ、こんにちは
[1665.812] だいこん_: 🐓
[1670.787] (S)9211212a0105: ~MISSING_MESSAGE_INFO~
[1670.930] higan1983: 在宅勤務です
[1681.477] (S)vespa127g: umeCatHope
[1682.968] TheeCorrupt: if any character would end it. it would be ken
[1688.300] balthazar000: それが正しい
