[5.270] (S)RFKage: umeCossack
[1929.912] Hikaru_256: LOLは1ゲームの時間が半分くらいならやりたかった
[1931.262] yarrikyarrik: Pisda…
[1934.417] (S)グレンシア: 流れが変わる行動に派手な演出ついてるからスト6はわかりやすいよねえ
[1937.676] シロテア: 視覚的にすごいかわかりやすいゲームが見てて面白いよ
[1938.022] prisira: チームゲーはもうやりたくないんよなぁ
[1939.825] はっち_8: やればやるほどわかるlolの楽しさ
[1948.706] pepepe393: overwatch流行れ
[1954.901] takahashiseigi: lolはsakoさんやふ〜どが本気でハマっていた模様
[1964.075] 蝉時雨: チームゲーほんまに飽きたな、疲れちゃったよ
[1966.238] prisira: かじゅもじゃない？
[1967.455] suzupoo: ストリートファイターもMOVA作って
