[515.453] あと1983: 徒歩王となるかトホホ王となるか
[516.712] meganesandesuyo: 味覚王早食い王足腰王
[519.566] gokukeshi: ウメ散歩特別編
[520.211] ラリぶべぼ: バカ王
[526.407] xxzoids: シュートは所沢から船橋まで徒歩で帰ろうとした男。
[526.481] もきち555: 健脚王
[526.584] ロンロ: 真の散歩王で
[527.915] (S)redpeppar510: 散歩王
[528.603] myodent21: 格ゲー王、味覚王、足腰王
[531.571] itinitizaku: 今日の運転手 愛想ないな
[531.651] wonderhit1: トレッキングポール持った？
[532.486] taroumaruh: 足腰王となるか 腰１とでるか
[533.211] furu13: 20キロ？
[533.336] ememeume: 膝気をつけてーー
[534.857] (S)raurakd: 格ゲー、味覚、ときて三冠か？
[535.758] ctn0912: ウメ行軍
[538.603] ポンポン: 歩き
[539.065] pochichan11: umeGoat
[539.085] ~MISSING_COMMENTER_INFO~: WutFace
[540.277] ima_son: ウメ散歩耐久編
[540.417] dekamega: 仙台から弘前まで最短ルートはず～～～っと山の中
[541.513] queuhcs: 20キロ！
[542.111] nihonsyu_: えいたくんは初日で落ちないようにがんばって
[544.399] chin_56_: Is this person famous for his axe?
[545.424] ロンロ: ｗ
[546.109] ポンポン: だせぇ
[546.237] lg99632: ｗｗｗｗ
[546.500] vungo_mr: ｗｗｗｗ
[546.780] LogicalDashGG: ｗｗｗ
[546.979] ememeume: 歩法
[547.029] 000105: えーｗ
[547.277] teruharu_: がんばってー
[547.804] nikorinko: だせｗ
[547.907] 503_win: ｗｗｗ
[548.045] wonderhit1: ｗｗｗ
[548.067] ライム_: ええええ
[548.422] usa451: どうしても抜きん出てしまうんだよな
[548.647] meganesandesuyo: www
[548.671] papipopon: あなたさぁ
[548.953] (S)yaminoiiii: ｗｗ
[548.999] myodent21: 歩法が違うってわけ
[549.609] ame512: ｗｗｗ
[550.214] ジノジュグ: www
[550.363] sdy_hs: 草
[550.606] tsunekiyo01: 最短ルートで行く感じですか？
[551.250] ランゲルハンス島観光協会: naouke subscribed at Tier 1. They've subscribed for 23 months! 
[551.502] よもぎです: ですよね
[551.784] (S)yoyo_443: ｗｗｗｗ
[552.275] piyopiyomaru555: www
[552.338] あと1983: 死んだわ…
[554.432] (S)monmon_petitpetit: “ダセえ”
[554.581] maddy2623: 嘗めてますね～
[555.088] kaomoji3: 持つかなぁ
[555.319] ~MISSING_COMMENTER_INFO~: 【杖禁止】
[555.678] mikiyamadou: ジンバル手で持つの？
[556.243] beehive3: LUL
[558.127] もきち555: 禁じられた
[558.784] rm_rf__: かっけえなぁw
[560.085] (S)bec118_japan: しゃばかった
[560.478] Kanquez05: ルール１
[560.714] vungo_mr: おかしなバイアスがかかっているｗ
[561.438] v_harumi_v: 散歩ｗ
[563.441] dekamega: 山道だから途中でマメできたら歩けなくなりますよ
[564.949] (S)inkgran: かっけぇぜ…
[565.275] mogai555: 王の勅命
[568.521] usa451: じじいじゃないんだから
[570.102] Areca129: ウメさん、牛タンで良ければ、閣っていうところオススメです@仙台
[572.694] ememeume: ワクワクが止まらない、、！！
[574.885] daichan1200: クロックスが一番だせえよ
[576.282] 黒猫くん: いつまでその余裕があるか楽しみっす
[577.601] (S)Lyrinxxxx: 口
[581.815] suikan3: 天気予報みたら、雨は１，２日ぐらいなので良かったんですね
[583.745] あと1983: 炭酸抜きコーラ飲んでる刃牙見てるヤツらの気持ちだよ
[587.740] LogicalDashGG: ｗｗｗ
[588.391] ジード: スケボーはありですか？
[588.909] 新福菜館マン: クルマもダセえなあ？
[589.012] gannaranna: ｗｗｗ
[589.040] Kanquez05: はい禁止
[589.144] ima_son: 体に固定とか…
[593.785] taroumaruh: 気が立ってるｗ
[594.665] ~MISSING_COMMENTER_INFO~: まさかクロックスで青森まで行くの？
[596.783] (S)redpeppar510: 狂犬w
[596.784] ctn0912: www
[598.103] teruharu_: テンション高いw
[598.433] ポンポン: 男なら手でもて
[601.135] meganesandesuyo: 王は昂ぶっておる
[603.195] ノア1844: 確かにトレッキングポールは散歩ではないですねｗ
[603.512] sdy_hs: だせえから禁止
[605.830] myodent21: イキっていられるのは何日目までかな...
[606.289] prototypeie: ビーストモード
[606.579] furu13: 入ってるねぇ
[607.030] ememeume: 気が立っている！
[607.232] 原子力塩太郎: もうサバイバルは始まってる
[607.343] mikiyamadou: 体に固定する奴あると思うよ
[607.906] fuan4444: 戦いを前に気が立ってる
[608.471] Ramen_soul: itazanIkenkuma
[609.615] OGPG_mendokusai: ビーストモード
[610.131] MadEggMania: 馴れ合いはいらない
[610.751] bokusatu: だせえとか気持ち悪いとかｗ
[611.991] もすも: たしかに靴気になる
[614.740] ロンロ: 後半そこらへんの枝ついて歩いてそうｗ
[614.812] QUENCH666: バトルw
[615.243] light_hight: 散歩バトル
[615.760] v_harumi_v: バトルですねぇ
[617.337] owacooorn: 出征で攻撃的になってる
[618.084] Kbs999: Kbs999 subscribed with Prime. 
[618.592] dekamega: バトル漫画だから途中で何人かは倒れる
[619.964] justinfun74185269: ほぼカイジ
[621.115] vungo_mr: ４ぬのか
[621.628] myodent21: 漫画化不可避
[623.244] (S)raurakd: タヒw
[623.569] show_hase: w
[625.435] (S)inkgran: 戦いのマインドに入ってるね
[626.231] (S)食用ばるさみこす: 地球 vs 大吾
[626.984] (S)foo_twitch: 死のロングウォーク
[627.301] weeep1: えいたは笑われる側だろ
[627.856] usa451: スティールボールラン
[629.414] ryuya13: えいたは無理やろうなあ・・・
[629.979] ポンポン: 男塾
[630.739] 原子力塩太郎: 車のセッティングすごいなｗ
[631.179] ctn0912: ちゃんと死ぬんかーい
[631.282] ハジメちゃん: ようつべ公式切り抜きでやりたい言ってたけどマジでやるとはおもわなかった😅
[631.304] LogicalDashGG: えいた大丈夫か
[634.596] レム__: 死亡確認
[635.542] dekamega: これもうハンター試験でしょ
[638.947] ねっかちゃん: ちゃんとえいたが○ぬ
[640.051] mememe10: 地獄絵図を期待
[641.652] ジード: 司もいいですよ。牛タン
[644.258] mogai555: 閣
[644.456] ima_son: ウメハラ死の行進
[647.662] Areca129: カクであってます
[649.595] v_harumi_v: ｗｗｗ
[651.788] gannaranna: わんたーれん
[652.478] yui_tang0307: ウメハラ Fighting Walkers
[653.227] usa451: 天ぷら、三太郎
[653.772] (S)m1s4m0: ｗｗｗｗｗｗｗ
[654.035] inu_ikura_ika: サトツさん
[654.549] ジード: ラスベガスと仙台にしかないです。牛タンの司。
[656.691] (S)ぐるえむ: ww
[657.416] myodent21: w w w
[657.711] taroumaruh: KIA
[658.031] (S)raurakd: www
[659.759] usa451: 独眼鉄
[661.038] (S)inkgran: www
