[588.570] pepepev2: あまにい
[589.125] ビショビショ美少女: あまにぃ❤️
[589.533] nana43: ｗｗｗ
[589.743] (M)Nightbot: 他配信の情報をコメントに書く行為、私の配信の情報を他の配信でコメントする行為は禁止です。
[590.845] kopoi_06: ルールマスターだ！
[591.259] (S)nvyf6flup11ffpbyzy3k: チームおじすぎる
[592.860] (S)adglan: ルール違反ニキ！
[594.200] (S)未知数みちお: ｗｗｗ
[595.084] zannennako: 王の圧
[595.549] (S)いうた: www
[595.560] (S)蛙田いぶき: www
[597.142] (S)papopopo: 法の番人
[597.186] (S)58qqq: ええてw
[597.603] ran73110: www
[599.159] ビショビショ美少女: ウフフ
[601.363] (S)ぽふぃん: うぃー
[601.596] zeta0006: 王の圧
[603.087] (S)もふーお: ｗｗｗｗ
[604.008] (S)きゅむぉ: ｗｗｗｗ
[604.443] オオゼキ: ｗｗｗｗｗｗｗｗｗｗ
[604.750] (S)ムーンバナナ: 法の番人w
[604.769] (S)シルニカ: ｗｗｗｗｗｗｗ
[605.468] (S)つちのこ83: wwwwwww
[605.952] (S)もーーーたん: wwwwwww
[607.616] rocomoco18: あ、つ
[608.133] (S)mira_koko: wwww
[608.273] ファボン4747: fantas22Kusa
[608.364] (S)alohapon: ｗｗｗｗｗ
[608.559] (S)ごはんよりパンがスキ: www
[609.059] (S)地縛神ポンタリウス: ｗｗｗｗｗ
[609.319] nasuic: fantas22Kusa
[609.840] rinori_ddd: wwwww
[609.886] ヤーマン8: www
[610.524] onigiri0402: ! member
[610.662] (S)qpchan: www
[611.827] kisiro02ky: 催促www
[612.051] (S)rebecca_76star: wwwwwww
[612.301] (S)jimami47: ｗｗｗｗｗｗｗｗｗ
[612.351] (S)c_world_: wwwww
[612.871] (S)ゆずきち00: www
[613.546] (S)Jewel_meat: wwwwwwww
[614.401] れんぴょこ: wwwww
[619.847] (S)ろむる1005: カナダ…
[621.449] (S)きゅむぉ: まじでカナダじゃんｗ
[623.440] dubu0214: あかりん以外30代？
[624.108] (S)バロン67: ｗｗｗｗｗｗｗｗ
[625.872] (S)ムーンバナナ: カナダなんやw
[626.747] nana43: あかりんがツッコミに回るの草
[648.583] (S)takenoko45: wwwww
[649.405] (S)塩唐揚げ: ええてｗｗ
[652.298] ran73110: wwwwwwwwwww
[652.488] (S)いうた: www
[654.427] (S)mintia_1232: ええてw
[654.431] (S)syourarutaru: ｗｗｗ
[656.803] koudai4484: ええてw
[657.885] mokobra: ハァイ
[658.907] 鯖缶だよ: www
[662.281] daas1j: ｸｶ
[672.210] (S)生のイモ: 落ち着きのある頭突き
[673.064] (S)obisan4646: ﾊｧｲ
[673.855] (S)takashi1111111: 近所の無線使ってる？
[678.928] (S)S0Mth1ngg: ホンダで知ったような口ききやがってwww
[683.259] (S)こーめいさん: 頑張れ〜！！！！！！
[687.083] (S)ベリッサ: 板ザンさん来るのか
[687.930] (S)きゅむぉ: 経験者枠です、か
[697.071] (S)ロンロ: 豪華やなぁｗ
[698.962] (S)こーめいさん: ホンダでボッコボコにしてくれ
[700.237] (S)tekunobasuta: これでヘンディーとかに普通に負けたら笑う
[703.154] (S)makomako1007: 豪華やなここ
[714.092] (S)白湯飲みたい: あつ
[714.306] (S)オムご飯: ファン太頑張れ！
[715.630] (S)きゅむぉ: すげー
[716.212] (S)バロン67: 豪華やね
[718.755] ぴるろ21: おぼ先生w
[723.413] yuuko1014: 手厚い
[725.154] (S)_やお_: コーチおぼさんなの笑う
[728.331] (S)makomako1007: プロ多い
[736.054] (S)しゅぺたろ: コーチおぼさんなのか
[736.253] (S)ピン汰: fantas22Muscle
[738.258] rocomoco18: おぼw
