[1634.427] (S)user0511: リアルファイトええな
[1638.070] k_ao_twitch: 負けそうならネット切るwww
[1638.212] ~MISSING_COMMENTER_INFO~: これがプロの状況確認か
[1639.357] omedetroit: ウメちゃんめっちゃ煽りそうw
[1639.611] (S)ta3z_: ウメちゃんとやるか、優勝者とやるか、選ぼうか
[1641.263] (S)komine58: 弱キャラじゃねーかｗ
[1645.222] 000105: 最後ならウメちゃんいるやん
[1645.260] daipansyokunin: 公開処刑はやめておこう、今後に先輩風を吹かす機会が無くなってまう
[1647.326] quququ12345: え
[1648.252] ~MISSING_COMMENTER_INFO~: ほんまに？強いアレックスとか地獄ぞ？
[1654.575] (S)台パン丸: ウメちゃんでええやん
[1656.101] (S)domontyan: ほんとそれなｗｗ
[1658.441] (S)kumatedd: 板Ａ
[1660.903] (S)komine58: ごうきちくん
[1676.572] myaaaaaa123: たかしだし
[1680.070] daipansyokunin: りゅうきちくん（フェイロン）
[1680.369] MadEggMania: りゅうきちくんさん
[1683.266] (S)ちゃやこ: そのリュウイジリは要らないと思うです
[1685.641] minOn54: ウメちゃんとエキシビションでもええんやで？
[1692.412] んがももん: りゅうきちくんは本名関連じゃなかった？
[1696.269] k_ao_twitch: そして真ん中はムッキムキライザップの人w
[1702.415] kona_kun0530: りゅうきちさん優勝候補筆頭な気がする
[1703.243] (S)rdstus: じょびん逃げるな
[1703.670] kurage88: ノーリスク
[1708.585] (S)user0511: ジョビンもジョビンなのにおしっこ漏らさないしな
[1714.161] umechin7: ウメちゃんとやるのええな
[1717.152] balthazar000: じょびんとのがみたいなぁ
[1718.499] (S)domontyan: 考え過ぎじゃね・・
[1725.435] oisiisio: さすがにジョビンが悲観的すぎるｗｗ
[1731.817] balthazar000: お互いそれなりの腕前でぶつかるのがいいっすよ
[1739.399] k_ao_twitch: うめちゃん全然得しないなその対戦ww
[1739.776] (S)rdstus: ウメちゃんは面倒くさいからジョビンやれって言いそう
[1742.117] daipansyokunin: エキシビジョンで俺が分からせますくらい言ってくださいｗ
[1743.235] namenamekonkon: トレモステージじゃないんだ
[1747.075] quququ12345: トレモステージ選ばんのか
[1759.278] kona_kun0530: トレモでやろうよ・・・
[1762.780] (S)あけち002: ササいないんだ
[1765.998] k_ao_twitch: うめちゃん首いたいからジョビンやれよw
[1768.737] (S)komine58: ウメちゃん対決権利>>>超えられない壁>>>ジョビン対決権利
[1786.632] (S)thefrozensun_: 出場者でりゅうきちくんが一番ベテランなんじゃない？
[1790.537] uhauhap: 折笠いけるな？
[1796.435] m_tw: ベガ戦うまいぞ
[1808.055] k_ao_twitch: つ、年齢制限ww
[1811.551] daichan1200: りゅうきちくんまでが名前じゃなかったっけ
[1817.079] (S)fl0kis: 優勝したら〇〇とは？に出してあげよう
[1819.644] ねむみたいな何か: ごうきちくん
[1820.156] k_ao_twitch: 何気30
[1820.305] ~MISSING_COMMENTER_INFO~: 29歳までだっけ
[1823.902] (S)psyx23: ビリーキャットてりゅうきちだったのか
[1824.051] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[1836.738] Mossarish: うま
[1838.001] (S)domontyan: おお
[1841.948] m_tw: 昔、豪吉っていうプレイヤーいたなそういや
[1843.806] k_ao_twitch: 30以下だと結構厳しいよなー
[1845.620] TimelessGFX: tpaBison
[1857.197] oisiisio: なんかラシードとキャミィの声も聞こえるね
[1862.474] X2sanX2san: ボンちゃんがボンみたいなものか
[1863.020] イオリア: 天はが化けたんだろ
[1879.577] k_ao_twitch: 皆、平成産まれかな？
[1884.466] mago111: ベガ戦うめーな
[1889.251] ~MISSING_COMMENTER_INFO~: EX百鬼多いな
[1889.292] (S)psyx23: うまい
[1892.170] JackNeko: しっかり
[1899.977] emuemue_mm: すーぐ対空出す
[1902.867] kona_kun0530: うっま
[1903.977] oisiisio: 30未満だから、昭和64年がギリギリいるかも？
[1908.304] k_ao_twitch: りゅうきちなのに豪鬼
[1917.240] (S)一緒に映画ちゃんねる: 2先？
[1922.107] (S)psyx23: S1はリュウだったな
[1937.962] k_ao_twitch: katoさんたしかにギリギリ狭間世代いるかも
[1942.507] m_tw: アグネス・チャンちゃん、さくなくんくん、柳家小さんさん
[1963.142] X2sanX2san: ジョビンと歌広場はどっちが強いんやろ・
[1970.269] mago111: じょびんかな
[1971.317] supremecoy: This is tournament????? 
[1974.511] kona_kun0530: 他ゲーやっててこのクオリティすげぇ
[1978.250] omedetroit: さすがにジョビングラマスだしな
[1978.506] (S)ta3z_: リアルファイトならジョビンでは
[1980.058] k_ao_twitch: 歌広場出れるんじゃないか？
[1981.664] canon_203: つええ
[1987.805] m_tw: online tournament
[1990.786] (S)thefrozensun_: ジョビングラマスだしね
[1996.524] daichan1200: フェイロンから殺意だったっけ
[1998.992] (S)user0511: 歌広結構なおじさんでしょ
[1999.234] quququ12345: EVOと仕事被ってそう
[2002.015] ga_hq: 出られないっしょ年齢的に
[2007.620] supremecoy: Thank you
[2008.122] sasasasa89: 羅漢の使い方うめぇな
[2009.405] kurage88: 対策ガッチガチ
[2020.240] mago111: ベガせめきれてないな
