[1101.908] dobakon: 投げてみよう
[1105.006] (S)lunasolnars: 気付きまで近そうなんだけどな
[1106.455] lapistaxx: つみ？
[1106.679] (S)redbull_daisuki: さすがに？でいいんじゃないか
[1108.669] kireboshibasyato: ギブアップって言えば視聴者が教えてくれるぞ
[1110.655] aazak: 顔ｗｗｗ
[1111.933] momochan6: お
[1112.211] kiitank: 投げていいよ
[1112.461] pinio1022: 大谷翔平だったらなげてもいいよ？
[1114.497] garalia0: こんばんは
[1117.131] Nekso6: LUL
[1132.177] ぼぜ: ウメ・ゲーム
[1145.105] yaaaagii: 折れる前になったらゴリ押してみよう
[1146.334] jaitheson: is diago playing for the first time?
[1148.708] おじキッズ兄: とりあえず爆弾
[1149.525] lapistaxx: 鬱
[1150.305] (S)lunasolnars: 発想がやっぱおもろいな
[1159.641] (S)Sorachan1144: 途中で橋あげれないの
[1165.143] prototypeie: 爆弾魔
[1168.061] ぼぜ: 気付いた！
[1169.063] (S)margareta1111: 気付き
[1169.792] (S)redbull_daisuki: こういうのは頭が柔らかくないと
[1170.964] (S)ポンポン: クイッてやるんちゃう
[1171.209] ティコマン5代目: 今日の作画悪い・・・
[1172.291] dobakon: 気付いてしまったか
[1173.096] ぐらぁ: いいね
[1174.738] kireboshibasyato: お
[1182.051] ぼぜ: んん？
[1184.850] せいちゃん4: ｗｗｗｗｗｗ
[1186.791] ぐらぁ: あれ
[1187.032] dobakon: ん？？？？？？
[1187.338] (S)margareta1111: ｗｗｗ
[1188.589] kiitank: ？
[1189.683] ぼぜ: 気付いてなかったｗ
[1192.099] ranrannbi: ｗｗｗｗｗｗｗｗ
[1192.403] bouzu1175: だんだん遠ざかってますねこれは
[1193.626] inunade11: ある意味柔軟な発想
[1194.702] Fazh: noob 
[1198.802] Yogaindian: きて・・・なかったｗｗ
[1200.101] (S)margareta1111: 発想が天才
[1201.955] rm_rf__: 気づいて、ない？
[1207.091] dobakon: 距離めっちゃ遠いよ？
[1207.474] prisira: 簡単なのにｗ
[1208.149] (S)redbull_daisuki: おしいな
[1209.132] lapistaxx: ウメちゃんw
[1214.451] ぼぜ: 任天堂の敗北
[1216.791] nisshi21: いつも難しく考えすぎてるなw
[1219.543] (S)hasitaka0: 玄人志向なんだなー
[1219.624] おじキッズ兄: ウメちゃんのポータル見て～
[1220.918] mi_suril: 園児なら秒で解けるけどってやつだな
[1224.797] tatsu0000: 小学生でいける
[1224.917] kiitank: 慣性知らず？
[1224.987] prisira: 子供は頭柔軟やぞ
[1225.499] Aatyu: umeFail
[1227.131] (S)higashimurayama: わかった、気がする
[1229.905] kireboshibasyato: ギミック見た瞬間一瞬で分かったぞ
[1231.142] ranrannbi: むずくない・・・
[1231.213] momochan6: 子供はすぐ解ける気がする
[1231.700] rondarchia: 多分このゲームやったことないリスナーの人でも気づいてる人結構いるかと…
[1232.074] せいちゃん4: あともう一歩
[1233.812] Yogaindian: これ一個でここまで悩めたら最高のボリュームだな
[1234.657] paburonsss: 意外と頭硬いねウメちゃん
[1235.110] pinio1022: 残念ながら人間ようだようめちゃん。。。
[1236.403] そろもん1: わかったｗ
[1237.652] Kira00_: LUL
[1237.963] oimo: umeWhat
[1238.327] ぼぜ: ジャンプは関係ない
[1240.284] 多抜深夜: 頭を柔らかくするの大事
[1241.876] prototypeie: 子供はすぐわかる
[1247.694] oden_shin: 任天堂がするわけねぇだろｗｗ
[1249.238] ranrannbi: このさきがたのしみだよ
[1250.422] kenitama: 最悪この祠なくてもクリア行けるし
[1250.801] 000105: 球の動き見て
[1253.460] zenzen108: 大人は一度試してだめだったことはもう試さないからクリアできない
[1254.201] ぼぜ: 子供は3秒で解ける
[1257.693] Nekso6: FailFish
[1258.695] InitialDVolvo: Good morning! おはよう〜
[1261.500] (S)ippatsuman22: 爆弾も力技
[1264.605] ぼぜ: ｗｗｗｗｗｗｗｗ
[1265.062] aazak: ｗｗｗｗ
[1265.474] Nekso6: NotLikeThis
[1265.833] rotonz: お疲れ様です、配信ありがとうございます
[1265.843] せいちゃん4: ｗｗｗ
[1266.298] prisira: そんなわけないｗ
[1267.135] (S)margareta1111: ｗｗｗｗ
[1267.331] 157655: うおおおおお
[1267.521] (S)lunasolnars: 力技に頼るんかーい
[1268.165] bouzu1175: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[1268.224] yamame: ｗ
[1268.620] roval789: wwww
[1268.708] 1224levi: LUL
[1269.297] oden_shin: ｗｗｗｗｗ
[1269.599] rotonz: なんやねんｗｗｗｗ
[1270.676] おじキッズ兄: これは子供
[1271.261] aazak: 気合ｗ
[1272.236] garalia0: ちょ俺に貸して
[1272.496] hachi_mitsu: ほこらは必須ではないからね
[1273.048] Kira00_: LUL
[1274.523] kiitank: 脳筋ｗｗ
[1274.857] Siesta111: おじ特有のギリジャン
[1274.986] ぐらぁ: そらそうよ
[1275.661] ~MISSING_COMMENTER_INFO~: RRRRRRRRRRRRRRRRRRRRR
[1275.756] Fazh: TableHere
[1278.153] (S)higashimurayama: そりゃそうだｗｗ
[1278.448] orange016: まぁ、一応ね
[1280.219] dobakon: これがビーストじゃい！！！！
