[8.305] (S)gogopimimi: ウメちゃん
[2321.045] (S)apapa1031: this is OP
[2328.782] andyimsc: oh..
[2331.365] (S)いーでぃーえふ: ウメちゃん家は来客多いな
[2333.779] kuromisama21: @ForwardLife lets just report his channel
[2343.711] tamaow: 出前
[2346.573] (S)エリ_10: 家政婦？
[2346.994] (S)toshioj: もう13年経っちまったよウメちゃん・・・
[2348.554] ForwardLife: @ANN_p5 Lets
[2357.322] rudorasosu: 神ＢＧＭ
[2357.564] balthazar000: 参拝客が多い
[2361.321] コーゼット: テーマ曲を楽しむんだ
[2364.273] (S)harahara02: ウメはあえて通販を個別に頼む
[2369.400] (S)zakkn: いい曲だねー
[2372.149] gyahhaa: 苦労人フィン
[2378.405] (S)avmajvm: 画面すげえことになってんなｗ
[2380.577] matuzawa826: 昼の出前？
[2383.232] (S)~MISSING_COMMENTER_INFO~: done on my side, the report for copyright contents streaming
[2391.088] friedebi: 仲間にプージを振り回すやつ
[2397.058] amadori3: CM思い出す
[2399.507] (S)ilm0806: 村で殺し合いとは、怖い
[2401.017] (S)momomo00123: 経験値泥棒されすぎやろ
[2402.931] silca12: オー神「勇者の斧くれよ」
[2403.658] gyahhaa: 火を噴いているようにしか見えない
[2405.271] (S)toshioj: 89％2回と81％2回かわすだと？
[2406.178] kuromisama21: @forwardlife i told that guy streaming anime is not allowed on twitch , and he still fking spamming in daigos chat room
[2427.751] (S)~MISSING_COMMENTER_INFO~: tyler_durden_fc ありがとうー
[2431.308] kuromisama21: like legit everyday
[2434.252] (S)pikachupikac: i am going to stream snowflak
[2436.538] rudorasosu: ファイアーエムブレム～てごわいシュミレーションやり始めたら眠れない～だっけ？
[2442.360] (S)pikachupikac: soy boys
[2458.029] (S)zakkn: 気づきはまだか
[2464.600] 先日助けてもらった鶴です: シュミレーション
[2466.151] (S)元気な変態おすぎ: 1%のクリティカルで死んだ思い出あるし100%じゃないと信じられない…
[2478.878] (S)クズ220: 怒りMとか使っちゃえばいいのに もう中盤だぞ
[2479.630] (S)komine58: リングとスキル使ってないのね
[2497.529] (S)zakkn: ラストエリクサー病にかかっているな！
[2499.555] gyahhaa: エリクサー使えない症候群
[2504.847] (S)momomo00123: 飛行キャラで運搬前も使ってたでしょウメちゃん！なんで忘れてるの？
[2505.713] (S)toshioj: 俺ももったいなくて何も使ってないわｗ
[2508.300] (S)Kanquez05: 使ってないアイテムがたくさん
[2520.630] (S)harubou1123: エリートＭみたいにサクッといってほしい
[2524.531] rudorasosu: ラスエリ病患者ウメちゃん
[2528.156] (S)zakkn: さすがに？
