[1358.595] debuneko55: ウメさんが言ってるドラフト制は、初期のリーダーだけ決めて残り全てドラフトのスタイルですね
[1361.720] jigojigo: ドラフト運ゲー過ぎる
[1362.304] peperon17: 毎年ドラフトして1からやるとチーム感は無くなるからね
[1363.160] gyu_nyuu_pann: まぁ試合自体おもろければなんでもよね
[1364.980] korekitwitch: そこはトリーマーがやっていくのかもね
[1365.661] sh1zuku716: それはそう
[1367.825] mart_00_: そうだね
[1370.311] hikky722: 巨人軍
[1374.165] (S)ponponguripon: ぶっ壊せって話
[1374.462] bec118_japan: ガフロコン
[1378.113] sonic_chop: 言いたいことはよくわかるなぁ でも前に出てる人達は広告塔でもあるからねぇ
[1378.485] tw_numa: 長嶋巨人
[1381.134] sh1zuku716: 寧ろそれが正しいと思うけど
[1381.862] (S)yogyogsothoth: それダイゴの方式か
[1382.564] yamatotakeranai: なるほどw
[1384.005] hikky722: ジャイアンツ、ヴェルディ
