[28.429] huroran_: こんどぐ〜
[1894.894] sekky0128: 立ち弱TCからしか大ナックルしてなかったよ
[1895.791] うぇるなー0145: よその情報ってどこまで言っていいんだっけ？スクリムの内容は言っていいんだっけ？
[1896.396] tkgnotamago: ラッシュサプは、、、流石に教えなくていいか？
[1897.664] buretan555: 参考になりましたか？
[1911.414] fresca_12: 見てからのがいいんちゃう？
[1923.233] mata5213: リプレイ見た方が早そう。やってること少ないよ
[1925.098] あすか002: リプレイ見れる時点でほとんどの情報は言えるはず
[1927.273] lllspringlll: 3発から大ナックルにインパクトって教わってたよ
[1928.045] ry0444: 振ってくる技がシンプルに強いからねえ
[1933.290] こすもどりっぷ: 確率上げにシフト
[1936.980] moya_aska: まぁあらかたリプレイで分かるから大丈夫では
[1938.191] nolen9210: どうした！？
[1938.557] sasugani: ww
[1938.732] guscotu0: ひるどぐ
[1939.507] (S)LooseDash: んっ
[1939.592] naryuhama: ひなーの、キレた！
[1940.688] unimel1x: ひなーの、キレた！
[1941.180] shi_a__: キレた？
[1941.363] (S)鉄板: ひなーのキレた！
[1941.456] ゆきち08: キレたか
[1941.561] kurokokuroi: 自身あるのか
[1942.032] こすもどりっぷ: え、急に？w
[1942.776] うぇるなー0145: まぁ、想像でしゃべらずリプレイ見た方がいいのはそう
[1943.377] akiravec: 舐めてる？
[1943.560] miro36363: SA3の詠唱練習しなくて大丈夫？
[1943.979] dejiru: いけますけど、ね！
[1944.014] にゃんたー_121: コメントォ！？
[1944.436] tkgnotamago: 弾対策教えた方がいいんじゃねぇ？
[1944.490] toto3210119: バッチバチ
[1947.177] (S)ハラショータロー: www
[1948.551] puwaco: やるじゃん
[1948.743] sei160: コーチよくないなぁ
[1950.197] buretan555: 台パンしたとかなんとか
[1951.176] hige_yarou: ひなーのキレた？
[1951.374] see_no547: 昨日の配信見てれば分かるよ
[1951.535] katanantoka: ルーク戦わたしは自信あるが？
[1953.823] konagaki: かじゅをインストールしたか
[1954.887] (S)さとチャ: ひなーのかわいいな
[1954.944] (S)all_hd: ちゃんと教えてよ！
[1955.247] alice__n_n: wwww
[1956.577] あすか002: 最強キャラには対策だけじゃ足りない
[1957.226] yousuke0214: スクリム後の奴も見たいね
[1957.379] saifar99: 自信付いてきたのはいいな
[1958.681] taks1911: 昨日の練習で自信ついた感じか
[1959.263] ry0444: 勝つって言ってんの！
[1960.394] (M)墾田永年私財砲: 倒すが？
[1960.907] shi_a__: ほなどぐらルークいくか
[1961.970] master_hiro1: lolで例えよう！
[1962.125] naosan__: そのリプレイみてみるか
[1963.045] yotsubato_xx: 我はかずのこ・・・
[1965.083] junjamaica: 低く見ないでよね！
[1966.131] buretan555: なんならボンちゃんルークにもキレてたｗ
