[1050.280] solitude_q: ｗｗ
[1050.470] (S)はすすん: ｔシャツのサイズ感しりたいです
[1050.752] ちえぴ: あ
[1052.566] にゃんキャッツ: あwww
[1052.983] かん太: www
[1055.232] ギムネマ茶: それはまずい
[1056.172] rion222222: 引きずってるね
[1058.293] wolf_vltt: tシャツかったよー
[1059.194] 1400dpi_riki02: メルカリでいいか
[1060.819] Neko_bag: うえええい
[1062.752] かん太: ないす
[1067.256] ちえぴ: てんくん、Tシャツのサイズあとで教えて
[1069.969] kasyu_940: こーれ入るの無理です
[1073.103] Neko_bag: モロトフありすぎるｗ
[1074.695] ちえぴ: しゅがー、ナイス！
[1076.390] delendpg: ｗｗ
[1077.776] かん太: ないすううううう
[1078.916] 5nz0o: これは無理よ
[1079.274] にゃんキャッツ: lazvellNice
[1079.785] (S)もあ_모아: しゅがー！！！
[1080.936] kirpyofthestars: tennnZETANICE
[1080.967] Neko_bag: ないすうううう
[1081.531] かん太: tennnW0w
[1081.608] suoro75: ウルトも残った
[1083.119] fre_____d: フラッシュ神
[1084.834] kiyo_109: lazvellNice
[1085.524] (S)_あしゃ: tennnZETANICE
[1085.927] kei_vlz113: tennnZETANICE
[1086.184] なぎちゃです: 4ce
[1087.625] not_found89: うおおおおおおおおおお
[1095.818] takuma153: ひろろんのロング犬最高だったか
[1097.437] kai8dy: いんさねふらっしゅ
[1097.827] やきまる: らずさんトムだった…。。
[1103.672] rep008_: フラッシュも完璧や
[1110.343] maharaja_osu: フラッシュぶっ刺さり
[1112.279] aran_kar: バインドって今のメタ守りマップ過ぎない？
[1112.495] agdjwm: 初心者なんですけどZETAって攻めと守りどっちが強い構成なんですか？
[1112.789] Sfiya_Ab: てんたのtシャツって黒と白どっちがおすすめ？
[1117.104] にゃんキャッツ: Sugar 
[1120.575] ギムネマ茶: つまりしゅがーがえらい、と
[1124.375] かん太: トム押し付けたか
[1125.152] ppffvv_00: くわしいね
[1129.230] not_found89: さすがわかりやすい
[1132.146] mamimami422: もーりー
[1138.117] kasyu_940: ﾓrrﾘｨ
[1148.327] suoro75: おっし
[1151.395] モブエフ: テンさんゲッコー使う所見たことない
[1163.356] (S)もあ_모아: おしい
[1163.449] かん太: おしい
[1163.580] rep008_: えっぐｗ
[1164.793] Neko_bag: おしいい
[1166.456] ぎょんす: おし
[1177.322] ギムネマ茶: あのパックてんたの配信で見たな
[1179.546] 1400dpi_riki02: んt
[1181.304] smahiro256: このバインドってマップはどっちのチームが選択したんですか。
[1183.484] かん太: ntnt
[1186.852] 5nz0o: nt
[1187.494] Neko_bag: nt
[1187.979] suoro75: おもろいやん
[1193.024] takase1226: うーむ6-6か
[1195.090] 俺のショーティー: okok
[1195.782] にゃんキャッツ: lazvellNt
[1199.263] かん太: いけるいける
[1199.427] kasyu_940: @smahiro256 ZETA
[1201.363] wolf_vltt: まもり6-6まーいいか
[1203.366] kei_vlz113: バインドはZETA
[1208.744] smahiro256: ありがとうございます
[1210.786] かん太: wwwwwwwww
[1213.774] ギムネマ茶: www
[1214.795] かん太: カマキリスタイル
[1217.250] mamihirk: wwwww
[1220.749] すのは_: えぐい
[1221.595] Neko_bag: えぐいですｗｗｗ
[1221.795] かいり채널: 配置バケモンw
[1223.299] yassun96: zetaがんばれ！！！
[1223.542] ぎょんす: ww
[1223.825] spilca_: ｗｗｗ
[1229.301] にゃんキャッツ: ww
[1235.310] かいり채널: しかもめっちゃ椅子低いし
[1239.135] elkiyox: リオンさんはカマキリって言ってた
[1243.574] not_found89: 肩はずれるｗｗ
[1247.536] kasyu_940: く、くる
[1248.556] hochi4545: !yuran_sens
[1262.867] (S)もあ_모아: 客多いな
[1263.082] 投げやり大往生: kp
[1264.805] (S)ココ茶_26: kp
[1266.602] spilca_: kp
[1268.853] かいり채널: てんきんはモニターとの距離どれくらい？
[1271.151] かん太: kp
[1271.822] agdjwm: ZETA攻めの方が強い？
[1273.175] spilca_: すげ
[1273.682] (S)れまみな: れまみな subscribed with Prime. They've subscribed for 3 months! 
[1275.015] すのは_: 色やばすぎ
[1278.121] ぎょんす: ww
[1280.044] (S)ココ茶_26: いけるぞ 
[1285.803] ギムネマ茶: MercyWing1
[1287.441] かん太: ピストル頼む 
[1291.039] mamimami422: ナイスguys
[1291.836] teshigana: たはは…
