[1406.576] たけあき: sakoさんはウメ推し
[1411.452] 157655: ファンと推しって違うものなんだ
[1412.157] unlimited_teddy: 人多いなw
[1412.488] べネリ: セガがギーゴになってるね
[1415.525] (S)シミズム: 好きとか萌えのアプデだと思う推しって
[1416.999] (S)erisuk: ウメちゃんが麻雀の師匠に感じたものと同じようなもん
[1421.489] (S)kusatarooo: 一般人に溶け込むウメちゃん 誰か気づけ
[1423.040] masalucky1: 太刀川推しリュウ推しっぽい
[1424.443] ライム_: あるねｗ
[1425.135] bufuagi: 秋葉原はウメハラ知ってる人居そう
[1425.255] (S)perfecttakahashi: ウメちゃん太刀川さん推しだよ
[1425.639] あなたは何も悪くない: ファンと同じ意味で使ってたわ
[1429.160] kitsune_margiela: ｗ
[1429.954] (S)アベ0206: え、アドアーズのとこにゲーパニ入ったんか
[1430.456] (S)クラクラ777: ｗ
[1430.856] nikukuisugi333: w
[1431.541] aranami0: ｗｗｗ
[1431.634] herumesuwind: 子供連れてこれる場所になっちまったなぁ
[1433.413] HirocoT: ！
[1433.555] haru__12345: ｗｗｗｗｗ
[1436.670] bufuagi: wwwww
[1437.448] one596: まじか
[1437.739] ガガガイギー: すぐそこのエグゼで対戦会やってるみたい
[1438.418] kitsune_margiela: まじか
[1439.088] バント丸: ｗｗｗ
[1439.908] (S)アベ0206: めいどりーみんんｗ
[1439.968] akiaki0612: w
[1440.020] yuki__0410: www
[1440.821] 000105: 露店ええな
[1441.677] たけあき: りーみん、うるっせえなぁって思ってる
[1442.041] latenight000: 俺は元気もらってる、みんなは？
[1442.847] tounyu_dayo: わかるｗ
[1443.491] blackie_1988: その心は？
[1444.186] enuemu3: ！！
[1444.244] kiraku08: www
[1446.016] (S)ninpoko13: 元気というか、ここだなぁって感じ
[1447.802] same_no_obake: そうかもしれねええ・・
[1448.612] konsatoshi: 草
[1449.750] ライム_: めいどりーみん！めいどりーみん！ってやつね
[1450.492] balthazar000: ええ？
[1452.407] ememeume: その音楽聴きたいw
[1453.291] tgthirtyfive: Go daigo Go 
[1454.194] (S)トシロー: 秋葉来た感あるよね
[1454.432] bufuagi: 行かないの?
[1454.442] donekofg: エグゼの中撮影させてくれそう
[1455.079] ~MISSING_COMMENTER_INFO~: AKB系からは元気貰わないね
[1455.288] enuemu3: どんな曲なんだwww
[1455.412] はちにゃん: はちにゃん subscribed at Tier 1. They've subscribed for 8 months! 
[1455.500] (M)Moobot: Thanks for subbing for 8 months, @HACHINYAN 
[1455.641] (S)neojapan01010: はー、この通りなつかしい
[1457.410] balthazar000: いや全く
[1457.446] (S)アベ0206: 居心地ってやつ
[1458.982] lucia_morgan: その場所で必ず聞こえる音楽があると安心する
[1459.054] user81023: w
[1460.200] gazesd: うるさくないよｗ
[1460.326] yuki__0410: いいことですね！！
[1461.012] 吉良アキラ: コラボ案件しよ
[1462.516] kitsune_margiela: うるさくないだろ！ｗ
[1468.428] user81023: これ？w
[1471.834] かげでん: サトームセンの歌のほうが元気出る
[1472.445] ゅり: 謎の日常の中の非日常を感じれる
[1473.667] ライム_: アキバのにぎやかしだよね
[1474.197] kami4genjin: ww
[1474.830] donekofg: 安心感かな
[1475.710] (S)v_harumi_v: どんな曲かわからず
