[1755.348] bec118_japan: 順当にマゴなのかメタ的にZなのか
[1755.531] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[1758.105] akichi018: 2先なら行けそうだけど、3先のマゴしぃは強い
[1760.806] v_harumi_v: おおー！
[1761.000] maddy2623: マゴさんはサブ垢見つけちゃったからザンギの人にスパー頼んでる
[1763.165] shifoncafe: 攻める
[1770.043] donekofg: えぇ
[1771.833] shiro_risu01: umeCatHope
[1780.845] dasaku_yaniki: 板ザンさんイケるのか
[1780.970] narakunohaman: 玉が機能しずらいからザンギ有利って言われてる
[1789.179] potocki1810: きびしいなｗ
[1791.476] v_harumi_v: ｗｗｗ
[1793.592] donekofg: しょんぼりマゴサンになっちゃう
[1813.433] bec118_japan: グロいwww
[1824.042] (S)kakutora_no_o: うお
[1841.117] Hiclere: いやぁきつそうｗ
[1847.189] maddy2623: ほんとにザンギ有利なの？
[1847.624] (S)kakutora_no_o: これいけるんか？
[1878.931] maddy2623: ｗ
[1880.850] (S)kakutora_no_o: おっと？w
[1883.578] potocki1810: ｗｗｗｗｗｗｗｗｗ
[1884.274] shifoncafe: 何も起きない
[1884.960] axlmonk: ｗｗｗｗｗ
[1885.611] hamachi_x_kanpachi: だめだこりゃｗ
[1885.639] DancingSheep1119: www
[1885.705] lavacheese: 完封されるど
[1885.866] sai927: 話にならねい
[1888.862] 蝉時雨: だいぶ寒くやってるね、流石にマゴしぃ！
[1891.623] (S)kakutora_no_o: これはまずいww
[1897.423] だいす_: 無理や
[1897.637] Ryota_theCAREN: マゴさんが強すぎるw
[1901.306] bec118_japan: 俺も信じてたのに、、、
[1901.656] BATAKE21: こっから３本取れるか～？
[1902.483] donekofg: どう？
[1903.761] dasaku_yaniki: マゴしぃ余裕の表情だねえ
[1908.471] aru_0928: 思ったより、普通にボコられた
[1910.381] akichi018: マリーザはジュリきつい
[1914.260] shifoncafe: マリーザ来るか？
[1915.066] (S)switchdv: これはマゴさんが強い説もあるなｗ
[1915.609] fl0kis: fl0kis subscribed with Prime. They've subscribed for 46 months! 
[1918.919] Hiclere: ザンギのライン上げられる要素ゼロじゃんｗ
[1921.099] yousuke778: あの浴びせ蹴りみたいな中段で弾抜けれるんだよね リターンやばい
[1922.858] x_abu_xx: 立川、いけるんかこれ?
[1928.719] ganasuna0000: 強い時のマゴさんだ、、
[1932.275] shellfish55: こくはマゴさん舐めすぎ
[1936.389] akichi018: アーマー割れまくるからね
[1945.104] dasaku_yaniki: ｗ
[1950.378] bec118_japan: ここで勝てばかっけぇぞZ!!!
[1950.734] BATAKE21: 間に合ってるか？
[1963.626] maddy2623: 調べだして3分くらいでサブアカ見つけてた
[1964.321] myaaaaaa123: ただの担当制だったか
[1972.314] デイビット: ラッシュ通り過ぎだよな…
[1975.335] v_harumi_v: 3分で！💦
[2009.807] potocki1810: ちがいないｗｗｗ
[2057.769] maddy2623: ｗ
[2057.831] BATAKE21: ｗｗｗｗｗｗ
[2058.241] sai927: ｗｗｗｗ
[2058.810] dasaku_yaniki: ｗ
[2059.614] (S)gularain: ｗｗｗｗ
[2059.831] shifoncafe: ｗｗ
[2060.250] ~MISSING_COMMENTER_INFO~: w
[2060.914] ab_tendon: ｗｗｗｗｗ
[2061.017] hamachi_x_kanpachi: ｗ
[2061.077] myaaaaaa123: ｗｗｗｗ
[2061.393] v_harumi_v: ｗ
[2061.605] (S)kakutora_no_o: wwww
[2064.675] axlmonk: LUL
[2065.805] v_harumi_v: ずーーーっとｗ
[2071.521] Hiclere: ぺちぺちぺちぺち
[2073.365] HirocoT: ｗｗｗ
[2073.529] maddy2623: ザンギではコパもおしてるし！
[2074.930] johndoe6523rp: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[2075.733] v_harumi_v: 面白いｗ
[2089.598] indobazaar: 小パンは押せなくなったから・・
[2104.151] 蝉時雨: もっとスラムみたいに汚ねぇ投げをしねぇとかてねぇ…
[2106.202] shellfish55: ザンギかっけぇのになぁ
[2110.812] (S)kakutora_no_o: 対策だぁ
[2130.157] Hikaru_256: 厨二病ならぬ中パン病
[2141.791] (S)kakutora_no_o: うっわいいの当たった
[2143.190] dasaku_yaniki: おー
[2153.985] 蝉時雨: あれ
[2156.575] balthazar000: 強化系は開発期間がねぇ
[2157.584] (S)kakutora_no_o: あぶねぇ
[2160.748] johndoe6523rp: おぉ
[2171.776] Hiclere: おおおお
[2171.862] (S)y_proto: ジュリは中足が強すぎる
[2173.828] (S)kakutora_no_o: おおおw
[2174.012] hamachi_x_kanpachi: うおおおおお
[2175.431] popo8322: きたああああああ
[2177.147] 蝉時雨: あーら
[2178.480] maddy2623: マーースル
[2182.397] gorogorogorn: へーる
[2182.622] johndoe6523rp: はや
[2192.140] BATAKE21: おおおおお
[2192.425] (S)kakutora_no_o: ああああああ
[2192.516] Hiclere: ｗｗｗｗｗｗｗｗｗｗｗ
[2193.240] v_harumi_v: おおおおー！
[2193.998] hamachi_x_kanpachi: P
[2194.728] aranami0: やっば
[2195.199] meireon: ｗｗｗｗ
[2196.015] (S)kakutora_no_o: いったあああああ
[2196.408] 蝉時雨: 打撃がおもろいくらい当たる
[2196.886] ~MISSING_COMMENTER_INFO~: w
[2198.117] diyab5434: 壊せ
[2198.197] dasaku_yaniki: まごしぃの表情みせてくれ！！
[2198.798] Ryota_theCAREN: wwwwww
[2198.973] ab_tendon: こわれたーーーーｗ
[2199.481] SuperMaguro: 壊れちゃったあ！！
[2199.870] dorayann: ｗｗｗｗ
[2199.880] rockmantarou: 回してた
[2200.108] (S)すれいまん: wwww
[2200.120] shifoncafe: ｗｗｗ
[2201.400] (S)pansollo: デンプシーロールくらってます
[2202.008] (S)hachibee888: 壊れちゃったｗｗｗ
[2202.908] だいこん_: こわれちゃーう！
[2202.954] topazpizza: www
[2203.059] tama_zx61: こっからよ
[2203.508] ~MISSING_COMMENTER_INFO~: 板ザンの強さを俺は信じている
[2203.725] johndoe6523rp: p
[2203.976] meireon: おっと？
[2204.595] (S)kakutora_no_o: これあるかぁ！？
[2205.485] bec118_japan: Zあるのか？？？？？？
[2205.648] kobetaf: こわれちゃ＾～う
[2206.099] yoyo_443: 壊れちゃったｗｗｗ
[2207.423] あーるさんは大学生: やっぱ板ザンさん面白！！！！
[2210.790] (S)ponponguripon: まごさーん
[2214.815] akiravec: 壊れるのはええｗ
[2224.271] popo8322: いいよぉ
[2224.554] (S)kakutora_no_o: 打撃めっちゃあたる
[2227.844] BATAKE21: 壊れてね？ｗｗ
[2228.013] Hiclere: タメにそんなのはいるんだ⒲
[2228.039] hamachi_x_kanpachi: あ
[2228.162] sai927: これは
[2228.163] dasaku_yaniki: 面白くなってきた
[2229.486] indobazaar: 始まってるｗ
[2229.575] maddy2623: 壊れろッ！
[2229.774] (S)kakutora_no_o: これやばいwww
[2232.245] hamachi_x_kanpachi: 壊しに来てるｗ
[2233.675] (S)kakutora_no_o: おもろいww
[2235.512] johndoe6523rp: ザンギかっけぇｗｗｗｗｗｗｗｗｗｗｗｗ
[2236.289] meireon: おっと？・・・
[2236.300] 蝉時雨: お、おわる！
[2237.073] ~MISSING_COMMENTER_INFO~: はいザンギの流れ
[2240.607] ahum108: 壊れちゃった
[2244.432] shellfish55: ザンギかっこいい
[2250.007] maddy2623: ｗ
[2250.811] (S)pansollo: ぺちぺち削ってていいですねえ
[2251.529] (S)gularain: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[2252.059] axlmonk: ｗｗｗ
[2252.068] SuperMaguro: ｗｗｗｗ
[2252.079] ab_tendon: ｗｗｗ
[2252.343] maruino351: ｗｗｗｗｗｗ
[2252.499] iguchiill: LUL
[2252.920] (S)kakutora_no_o: www
