[6.682] (S)だーさと: うぃ～
[734.711] (S)いうた: wwww
[736.299] (S)mamimumemo123456789: これ、、、手伝う必要あるかwww
[736.709] (S)ライハ0514: サプ無し戦闘すれば停滞できるのか
[737.729] sabakan0917: セイジ優秀だぁー
[738.158] (S)patrick1000koo: fantas22Muscle
[739.570] (S)ネオノアン: データ柱ですこれ
[739.781] ごーやちゃんぽ: まだら潰すの手伝うのあり
[740.289] (S)輪入道: セイジも優秀やねえw
[740.381] (S)なぎころね: セイジは外交とか横に置いておきたいよな
[741.722] (S)sushi_gari_man: 交渉前に手札集めるの偉すぎる
[741.852] a_ryuuku: 流石政治さん
[742.520] スパーズ: まだらは敵でないでしょ
[742.654] nahayu0987: wwwwwww
[743.325] (S)toraware3004: 守りときは人口密度あげた方がいいのか
[745.895] rick12237: 868さんもうちょっと設定練らなきゃw
[746.792] (S)sakae_gumi: 868はどうするか
[747.020] (S)ベリッサ: それで敵対してるのはMOZUとGBCだけって言ってたからな
[749.322] 08yakitori: 薬売りはバイクでソロ活動って厳しいかな？
[749.798] (S)fummys: セイジ優秀やな
[752.126] ysk314_: いいねぇ軽く詰めよう
[753.115] nanafusisan: 4000
[753.350] kukudddddo: セイジ柱か
[753.409] (S)碇のあ: おーーー
[753.671] (S)gorigorimandayo: モズは百歩譲ってグッバイなのが謎w
[754.283] (S)seven_man18: スパイ疑うレベルで解像度高い情報やなwwwwwww
[755.300] zeta0006: 人の多さじゃなくて銃を撃つことで心なき減る可能性もありそう
[756.550] 杜奈熊: 歪みでサプつけてるけどてあるからなな
[757.350] (S)るびぃくん: いいね
[760.339] (S)u_tan86: セイジもタラちゃんに嘘つかれたの残念だったろうなー
[760.439] (S)mvron_29: 流石に政治さん
[762.730] (S)sheseec: 策士すぎるｗｗ
[764.651] (S)ゆずきち00: 政治おもろい
[769.325] 砂糖塩海苔: 山峰が2人おる
[771.005] (S)碇のあ: もう政治さん
[771.915] umeco_ex: 孔明や
